time,container,name,cpu,mem,pids
1757257869,37f0189a4b42,software_architecture_assigment1-redis-1,0.94%,9.359MiB / 3.828GiB,6
1757257876,c8ad98610be9,mystifying_lumiere,2.06%,15.46MiB / 3.828GiB,13
1757257876,bde3b1a58e27,software_architecture_assigment1-app-1,0.36%,10.8MiB / 3.828GiB,14
1757257876,6cd3710eac22,traefik,0.94%,53.71MiB / 3.828GiB,11
1757257876,37f0189a4b42,software_architecture_assigment1-redis-1,1.10%,9.359MiB / 3.828GiB,6
1757257883,c8ad98610be9,mystifying_lumiere,1.54%,15.71MiB / 3.828GiB,13
1757257883,bde3b1a58e27,software_architecture_assigment1-app-1,0.45%,10.8MiB / 3.828GiB,14
1757257883,6cd3710eac22,traefik,1.15%,55.76MiB / 3.828GiB,11
1757257883,37f0189a4b42,software_architecture_assigment1-redis-1,1.28%,9.613MiB / 3.828GiB,6
1757257891,c8ad98610be9,mystifying_lumiere,3.13%,15.79MiB / 3.828GiB,13
1757257891,bde3b1a58e27,software_architecture_assigment1-app-1,0.38%,10.8MiB / 3.828GiB,14
1757257891,6cd3710eac22,traefik,0.97%,55.79MiB / 3.828GiB,11
1757257891,37f0189a4b42,software_architecture_assigment1-redis-1,1.20%,9.359MiB / 3.828GiB,6
1757257899,c8ad98610be9,mystifying_lumiere,1.47%,15.54MiB / 3.828GiB,13
1757257899,bde3b1a58e27,software_architecture_assigment1-app-1,0.49%,10.8MiB / 3.828GiB,14
1757257899,6cd3710eac22,traefik,1.76%,57.89MiB / 3.828GiB,13
1757257899,37f0189a4b42,software_architecture_assigment1-redis-1,1.20%,9.359MiB / 3.828GiB,6
1757257906,c8ad98610be9,mystifying_lumiere,1.71%,15.53MiB / 3.828GiB,13
1757257906,bde3b1a58e27,software_architecture_assigment1-app-1,0.35%,10.8MiB / 3.828GiB,14
1757257906,6cd3710eac22,traefik,0.92%,57.88MiB / 3.828GiB,13
1757257906,37f0189a4b42,software_architecture_assigment1-redis-1,1.12%,9.363MiB / 3.828GiB,6
1757257913,c8ad98610be9,mystifying_lumiere,1.50%,15.54MiB / 3.828GiB,13
1757257913,bde3b1a58e27,software_architecture_assigment1-app-1,0.39%,10.8MiB / 3.828GiB,14
1757257913,6cd3710eac22,traefik,0.98%,57.88MiB / 3.828GiB,13
1757257913,37f0189a4b42,software_architecture_assigment1-redis-1,1.12%,9.609MiB / 3.828GiB,6
1757257921,c8ad98610be9,mystifying_lumiere,1.63%,15.54MiB / 3.828GiB,13
1757257921,bde3b1a58e27,software_architecture_assigment1-app-1,0.41%,10.8MiB / 3.828GiB,14
1757257921,6cd3710eac22,traefik,0.88%,57.87MiB / 3.828GiB,13
1757257921,37f0189a4b42,software_architecture_assigment1-redis-1,1.32%,9.609MiB / 3.828GiB,6
1757257929,c8ad98610be9,mystifying_lumiere,1.48%,15.54MiB / 3.828GiB,13
1757257929,bde3b1a58e27,software_architecture_assigment1-app-1,0.39%,10.8MiB / 3.828GiB,14
1757257929,6cd3710eac22,traefik,1.03%,57.88MiB / 3.828GiB,13
1757257929,37f0189a4b42,software_architecture_assigment1-redis-1,1.06%,9.609MiB / 3.828GiB,6
1757257936,c8ad98610be9,mystifying_lumiere,1.60%,15.54MiB / 3.828GiB,13
1757257936,bde3b1a58e27,software_architecture_assigment1-app-1,0.49%,10.8MiB / 3.828GiB,14
1757257936,6cd3710eac22,traefik,1.39%,57.88MiB / 3.828GiB,13
1757257936,37f0189a4b42,software_architecture_assigment1-redis-1,1.00%,9.609MiB / 3.828GiB,6
1757257942,c8ad98610be9,mystifying_lumiere,1.51%,15.54MiB / 3.828GiB,13
1757257942,bde3b1a58e27,software_architecture_assigment1-app-1,0.52%,10.8MiB / 3.828GiB,14
1757257942,6cd3710eac22,traefik,0.96%,57.87MiB / 3.828GiB,13
